,country,year,sector,emissions,emissions_change
0,Austria,2018,Energy,7558021.91,
3,Austria,2019,Energy,7626499.37,68477.45999999996
6,Austria,2020,Energy,6307297.65,-1319201.7199999997
9,Austria,2021,Energy,6296765.67,-10531.980000000447
12,Austria,2022,Energy,6244717.28,-52048.389999999665
15,Austria,2023,Energy,5099475.26,-1145242.0200000005
1,Austria,2018,Industry,26804803.009999998,
4,Austria,2019,Industry,27727938.330000002,923135.320000004
7,Austria,2020,Industry,26496382.599999998,-1231555.7300000042
10,Austria,2021,Industry,28527297.740000002,2030915.1400000043
13,Austria,2022,Industry,26667476.22,-1859821.5200000033
16,Austria,2023,Industry,25242223.02,-1425253.1999999993
2,Austria,2018,Transport,6998351.72,
5,Austria,2019,Transport,9276509.26,2278157.54
8,Austria,2020,Transport,5847504.87,-3429004.3899999997
11,Austria,2021,Transport,6426417.27,578912.3999999994
14,Austria,2022,Transport,8612852.02,2186434.75
17,Austria,2023,Transport,8316290.35,-296561.6699999999
18,Belgium,2018,Energy,15483340.24,
21,Belgium,2019,Energy,15726667.92,243327.6799999997
24,Belgium,2020,Energy,14571916.75,-1154751.17
27,Belgium,2021,Energy,13534397.03,-1037519.7200000007
30,Belgium,2022,Energy,14033467.33,499070.30000000075
33,Belgium,2023,Energy,11543579.84,-2489887.49
19,Belgium,2018,Industry,39166642.23,
22,Belgium,2019,Industry,38744261.87,-422380.3599999994
25,Belgium,2020,Industry,34904558.84,-3839703.0299999937
28,Belgium,2021,Industry,35939629.39,1035070.549999997
31,Belgium,2022,Industry,33158309.07,-2781320.3200000003
34,Belgium,2023,Industry,30921535.9,-2236773.170000002
20,Belgium,2018,Transport,10203259.23,
23,Belgium,2019,Transport,10135004.28,-68254.95000000112
26,Belgium,2020,Transport,8484014.63,-1650989.6499999985
29,Belgium,2021,Transport,8896903.86,412889.2299999986
32,Belgium,2022,Transport,9444167.17,547263.3100000005
35,Belgium,2023,Transport,9360222.58,-83944.58999999985
36,Bulgaria,2018,Energy,23524563.57,
39,Bulgaria,2019,Energy,22377774.77,-1146788.8000000007
42,Bulgaria,2020,Energy,17752526.37,-4625248.3999999985
45,Bulgaria,2021,Energy,22174998.63,4422472.259999998
48,Bulgaria,2022,Energy,26948922.13,4773923.5
51,Bulgaria,2023,Energy,15381287.18,-11567634.95
37,Bulgaria,2018,Industry,11533865.82,
40,Bulgaria,2019,Industry,11081551.88,-452313.9399999995
43,Bulgaria,2020,Industry,10473271.19,-608280.6900000013
46,Bulgaria,2021,Industry,11036359.09,563087.9000000004
49,Bulgaria,2022,Industry,11151797.95,115438.8599999994
52,Bulgaria,2023,Industry,9793607.709999999,-1358190.2400000002
38,Bulgaria,2018,Transport,7135097.02,
41,Bulgaria,2019,Transport,7251810.3,116713.28000000026
44,Bulgaria,2020,Transport,6627939.9,-623870.3999999994
47,Bulgaria,2021,Transport,7450816.91,822877.0099999998
50,Bulgaria,2022,Transport,5231981.08,-2218835.83
53,Bulgaria,2023,Transport,4887617.36,-344363.71999999974
54,Croatia,2018,Energy,3108786.48,
57,Croatia,2019,Energy,3400885.64,292099.16000000015
60,Croatia,2020,Energy,3407223.22,6337.5800000000745
63,Croatia,2021,Energy,3431579.22,24356.0
66,Croatia,2022,Energy,3622884.22,191305.0
69,Croatia,2023,Energy,3619639.03,-3245.19000000041
55,Croatia,2018,Industry,6035483.82,
58,Croatia,2019,Industry,5793079.35,-242404.47000000067
61,Croatia,2020,Industry,5525104.64,-267974.70999999996
64,Croatia,2021,Industry,5445700.01,-79404.62999999989
67,Croatia,2022,Industry,5152700.199999999,-292999.8100000005
70,Croatia,2023,Industry,5390143.380000001,237443.18000000156
56,Croatia,2018,Transport,1676579.27,
59,Croatia,2019,Transport,1744818.58,68239.31000000006
62,Croatia,2020,Transport,1398576.07,-346242.51
65,Croatia,2021,Transport,1483705.35,85129.28000000003
68,Croatia,2022,Transport,1665544.33,181838.97999999998
71,Croatia,2023,Transport,1870875.72,205331.3899999999
72,Cyprus,2018,Energy,3369102.11,
75,Cyprus,2019,Energy,3308178.56,-60923.549999999814
78,Cyprus,2020,Energy,3032376.95,-275801.60999999987
81,Cyprus,2021,Energy,3104984.58,72607.62999999989
84,Cyprus,2022,Energy,3126723.05,21738.46999999974
87,Cyprus,2023,Energy,3077764.69,-48958.35999999987
73,Cyprus,2018,Industry,1530253.86,
76,Cyprus,2019,Industry,1493318.34,-36935.52000000002
79,Cyprus,2020,Industry,1621959.72,128641.37999999989
82,Cyprus,2021,Industry,1570771.45,-51188.27000000002
85,Cyprus,2022,Industry,1587568.8,16797.350000000093
88,Cyprus,2023,Industry,1651182.1600000001,63613.3600000001
74,Cyprus,2018,Transport,510612.6,
77,Cyprus,2019,Transport,331355.96,-179256.63999999996
80,Cyprus,2020,Transport,300452.48,-30903.48000000004
83,Cyprus,2021,Transport,273180.86,-27271.619999999995
86,Cyprus,2022,Transport,346354.54,73173.68
89,Cyprus,2023,Transport,429582.43,83227.89000000001
90,Czechia,2018,Energy,49843071.8,
93,Czechia,2019,Energy,45864285.54,-3978786.259999998
96,Czechia,2020,Energy,39285827.93,-6578457.609999999
99,Czechia,2021,Energy,42055594.54,2769766.6099999994
102,Czechia,2022,Energy,43492147.9,1436553.3599999994
105,Czechia,2023,Energy,36074956.21,-7417191.689999998
91,Czechia,2018,Industry,24723881.68,
94,Czechia,2019,Industry,23084503.06,-1639378.620000001
97,Czechia,2020,Industry,21473752.57,-1610750.4899999984
100,Czechia,2021,Industry,22180489.290000003,706736.7200000025
103,Czechia,2022,Industry,20430749.41,-1749739.8800000027
106,Czechia,2023,Industry,17123025.55,-3307723.8599999994
92,Czechia,2018,Transport,8914502.83,
95,Czechia,2019,Transport,9250114.68,335611.8499999996
98,Czechia,2020,Transport,7839574.87,-1410539.8099999996
101,Czechia,2021,Transport,9095337.76,1255762.8899999997
104,Czechia,2022,Transport,9310871.85,215534.08999999985
107,Czechia,2023,Transport,9533266.26,222394.41000000015
108,Denmark,2018,Energy,9002459.71,
111,Denmark,2019,Energy,5854735.27,-3147724.4400000013
114,Denmark,2020,Energy,4935313.1,-919422.1699999999
117,Denmark,2021,Energy,5940382.23,1005069.1300000008
120,Denmark,2022,Energy,5699943.5,-240438.73000000045
123,Denmark,2023,Energy,4200209.72,-1499733.7800000003
109,Denmark,2018,Industry,7582905.359999999,
112,Denmark,2019,Industry,7289216.91,-293688.44999999925
115,Denmark,2020,Industry,6805085.55,-484131.36000000034
118,Denmark,2021,Industry,6994781.56,189696.00999999978
121,Denmark,2022,Industry,6623739.1899999995,-371042.3700000001
124,Denmark,2023,Industry,5886136.850000001,-737602.3399999989
110,Denmark,2018,Transport,50567948.3,
113,Denmark,2019,Transport,51078371.83,510423.5300000012
116,Denmark,2020,Transport,42324220.01,-8754151.82
119,Denmark,2021,Transport,49505612.81,7181392.8000000045
122,Denmark,2022,Transport,46156492.14,-3349120.670000002
125,Denmark,2023,Transport,45378135.57,-778356.5700000003
126,Estonia,2018,Energy,12848833.84,
129,Estonia,2019,Energy,7066544.14,-5782289.7
132,Estonia,2020,Energy,4782481.7,-2284062.4399999995
135,Estonia,2021,Energy,6196900.31,1414418.6099999994
138,Estonia,2022,Energy,7820115.51,1623215.2000000002
141,Estonia,2023,Energy,4531285.75,-3288829.76
127,Estonia,2018,Industry,2006867.5499999998,
130,Estonia,2019,Industry,2292938.6399999997,286071.08999999985
133,Estonia,2020,Industry,1638738.07,-654200.5699999996
136,Estonia,2021,Industry,1456512.15,-182225.92000000016
139,Estonia,2022,Industry,1338769.49,-117742.65999999992
142,Estonia,2023,Industry,1479862.4200000002,141092.93000000017
128,Estonia,2018,Transport,1581700.69,
131,Estonia,2019,Transport,1870711.72,289011.03
134,Estonia,2020,Transport,1369443.06,-501268.6599999999
137,Estonia,2021,Transport,1324114.35,-45328.70999999996
140,Estonia,2022,Transport,1301363.95,-22750.40000000014
143,Estonia,2023,Transport,1200992.15,-100371.80000000005
144,Finland,2018,Energy,16735932.0,
147,Finland,2019,Energy,14265322.73,-2470609.2699999996
150,Finland,2020,Energy,11252227.07,-3013095.66
153,Finland,2021,Energy,11934532.95,682305.879999999
156,Finland,2022,Energy,11214722.87,-719810.0800000001
159,Finland,2023,Energy,8305642.12,-2909080.749999999
145,Finland,2018,Industry,12371208.84,
148,Finland,2019,Industry,11917613.0,-453595.83999999985
151,Finland,2020,Industry,11153561.97,-764051.0299999993
154,Finland,2021,Industry,11300621.88,147059.91000000015
157,Finland,2022,Industry,10680839.17,-619782.7100000009
160,Finland,2023,Industry,9746864.94,-933974.2300000004
146,Finland,2018,Transport,10407166.93,
149,Finland,2019,Transport,10616752.36,209585.4299999997
152,Finland,2020,Transport,7666766.8,-2949985.5599999996
155,Finland,2021,Transport,7226130.82,-440635.9799999995
158,Finland,2022,Transport,8187272.98,961142.1600000001
161,Finland,2023,Transport,8433819.26,246546.27999999933
162,France,2018,Energy,28221047.41,
165,France,2019,Energy,26847816.2,-1373231.210000001
168,France,2020,Energy,24409791.9,-2438024.3000000007
171,France,2021,Energy,27099739.42,2689947.5200000033
174,France,2022,Energy,27716415.69,616676.2699999996
177,France,2023,Energy,20458774.0,-7257641.690000001
163,France,2018,Industry,92748326.56,
166,France,2019,Industry,89624874.41,-3123452.150000006
169,France,2020,Industry,78095670.48,-11529203.929999992
172,France,2021,Industry,84026867.7,5931197.219999999
175,France,2022,Industry,77665731.47,-6361136.230000004
178,France,2023,Industry,70983589.60000001,-6682141.86999999
164,France,2018,Transport,69728628.97,
167,France,2019,Transport,66887821.06,-2840807.9099999964
170,France,2020,Transport,52086189.38,-14801631.68
173,France,2021,Transport,57371679.94,5285490.559999995
176,France,2022,Transport,62229679.59,4857999.650000006
179,France,2023,Transport,61410118.17,-819561.4200000018
